state,district,latitude,longitude
Goa,North Goa,15.548723,73.80668
Goa,South Goa,15.195279,73.941793
Gujarat,Ahmedabad,22.605426,72.238981
Gujarat,Amreli,21.048326,71.434576
Gujarat,Anand,22.282718,72.577821
Gujarat,Banaskantha,24.258539,71.932053
Gujarat,Bharuch,21.757873,72.673263
Gujarat,Bhavnagar,21.702194,72.162726
Gujarat,Dahod,22.897992,73.991706
Gujarat,Gandhinagar,23.19368,72.672217
Gujarat,Jamnagar,22.4106,69.62062
Gujarat,Junagadh,20.929523,70.547339
Gujarat,Kutch,23.480572,68.821923
Gujarat,Kheda,22.887653,73.018804
Gujarat,Mehsana,23.529355,72.455452
Gujarat,Narmada,21.706664,73.684032
Gujarat,Navsari,20.866973,72.861849
Gujarat,Panchmahal,22.804356,73.619846
Gujarat,Patan,23.806342,71.75163
Gujarat,Porbandar,21.550924,69.71897
Gujarat,Rajkot,22.406034,70.836794
Gujarat,Sabarkantha,23.718036,73.136388
Gujarat,Surat,21.257614,72.934887
Gujarat,Surendranagar,22.82672,71.483587
Gujarat,Dang,20.801634,73.688352
Gujarat,Vadodara,22.261337,73.49433
Gujarat,Valsad,20.442382,72.914858
Gujarat,Aravalli,25.2235,73.7478
Gujarat,Botad,22.1723,71.6636
Gujarat,Mahisagar,23.1711,73.5594
Gujarat,Chhota Udaipur,22.3085,74.012
Gujarat,Gir Somnath,21.0119,70.7168
Gujarat,Devbhumi Dwarka,22.1232,69.3831
Gujarat,Tapi,21.2789,73.6065
Gujarat,Morbi,22.8252,70.8491
Haryana,Ambala,30.350367,76.949703
Haryana,Bhiwani,28.728868,76.021102
Haryana,Faridabad,28.148731,77.327185
Haryana,Fatehabad,29.572983,75.546087
Haryana,Gurgaon,28.043895,77.019351
Haryana,Hisar,29.236287,75.843247
Haryana,Jhajjar,28.596519,76.611371
Haryana,Jind,29.451498,76.295986
Haryana,Kaithal,29.960685,76.376989
Haryana,Karnal,29.703201,76.87488
Haryana,Kurukshetra,30.056527,76.787747
Haryana,Mahendragarh,28.135216,76.140181
Haryana,Panchkula,30.700897,76.971732
Haryana,Panipat,29.343521,76.928959
Haryana,Rewari,28.191647,76.55956
Haryana,Rohtak,28.892518,76.531232
Haryana,Sirsa,29.635834,74.909705
Haryana,Sonipat,29.058057,76.855871
Haryana,Yamunanagar,30.264662,77.316528
Haryana,Gurugram,28.4595,77.0266
Haryana,Nuh,28.1024,76.9931
Haryana,Palwal,28.1473,77.326
Haryana,Italians,29.0588,76.0856
Haryana,Charkhi Dadri,28.5921,76.2653
Himachal Pradesh,Bilaspur,31.378042,76.653161
Himachal Pradesh,Chamba,32.667418,76.393541
Himachal Pradesh,Hamirpur,31.676685,76.497671
Himachal Pradesh,Kangra,32.140936,76.412059
Himachal Pradesh,Kinnaur,31.606672,78.516137
Himachal Pradesh,Kullu,31.909119,77.409226
Himachal Pradesh,Lahul and Spiti,32.51717,77.62471
Himachal Pradesh,Mandi,31.635806,76.965569
Himachal Pradesh,Shimla,31.155725,77.62573
Himachal Pradesh,Sirmaur,30.682764,77.431847
Himachal Pradesh,Solan,31.038643,76.944421
Himachal Pradesh,Una,31.583304,76.183539
Jammu and Kashmir,Anantnag,33.760273,75.303906
Jammu and Kashmir,Budgam,33.932581,74.797981
Jammu and Kashmir,Baramulla,34.381254,74.763599
Jammu and Kashmir,Doda,33.359615,76.071637
Jammu and Kashmir,Jammu,32.713199,74.847752
Jammu and Kashmir,Kargil,33.565995,76.636753
Jammu and Kashmir,Kathua,32.517817,75.589014
Jammu and Kashmir,Kupwara,34.599235,74.215877
Jammu and Kashmir,Ladakh (Leh),33.585792,78.307259
Jammu and Kashmir,Pulwama,33.884144,75.009219
Jammu and Kashmir,Punch,33.791241,74.295932
Jammu and Kashmir,Rajouri,33.272322,74.407769
Jammu and Kashmir,Srinagar,34.273129,75.110212
Jammu and Kashmir,Udhampur,33.047707,75.15287
Jammu and Kashmir,Bandipora,34.5052,74.6869
Jammu and Kashmir,Shopiyan,33.7594,74.8039
Jammu and Kashmir,Kulgam,33.645,75.018
Jammu and Kashmir,Ganderbal,34.2165,74.7719
Jammu and Kashmir,Samba,32.553,75.1108
Jammu and Kashmir,Kishtwar,33.3116,75.7662
Jammu and Kashmir,Ramban,33.2464,75.1939
Jammu and Kashmir,Reasi,33.0804,74.8364
Jharkhand,Bokaro,23.681497,85.983984
Jharkhand,Chatra,24.116199,84.932958
Jharkhand,Deoghar,24.330701,86.756976
Jharkhand,Dhanbad,23.854509,86.403729
Jharkhand,Dumka,24.275006,87.276625
Jharkhand,Garhwa,24.082115,83.686643
Jharkhand,Giridih,24.305785,86.087109
Jharkhand,Godda,24.8189,87.294174
Jharkhand,Gumla,23.078533,84.550568
Jharkhand,Hazaribagh,23.943242,85.494413
Jharkhand,Jamtara,23.978733,86.953251
Jharkhand,Koderma,24.556719,85.716909
Jharkhand,Latehar,23.725112,84.482987
Jharkhand,Lohardaga,23.488796,84.660517
Jharkhand,Pakur,24.572604,87.69692
Jharkhand,Palamu,24.196926,84.203108
Jharkhand,Pashchim Singhbhum,22.399408,85.540984
Jharkhand,Purba Singhbhum,22.591334,86.509101
Jharkhand,Ranchi,23.184235,85.317819
Jharkhand,Sahibganj,24.93668,87.682641
Jharkhand,Saraikela Kharsawan,22.855914,85.896149
Jharkhand,Simdega,22.60876,84.591937
Karnataka,Bagalkote,16.158607,75.645261
Karnataka,Bengaluru Rural,12.936827,77.473693
Karnataka,Bengaluru Urban,12.901925,77.586856
Karnataka,Belagavi,16.161072,74.72329
Karnataka,Ballari,15.074378,76.472285
Karnataka,Bidar,17.950362,77.1946
Karnataka,Bijapur,16.840153,75.959092
Karnataka,Chamrajnagar,11.95248,77.02385
Karnataka,Chikmagalur,13.425288,75.676265
Karnataka,Chitradurga,14.291022,76.57822
Karnataka,Dakshina Kannada,12.891205,74.962163
Karnataka,Davanagere,14.330415,75.917238
Karnataka,Dharwad,15.343831,75.138313
Karnataka,Gadag,15.507128,75.648613
Karnataka,Gulbarga,17.07046,76.875039
Karnataka,Hassan,12.945099,76.110495
Karnataka,Haveri,14.737583,75.396123
Karnataka,Kodagu,12.396845,75.793366
Karnataka,Kolar,13.3128,78.013769
Karnataka,Koppal,15.651253,76.161705
Karnataka,Mandya,12.574902,76.815701
Karnataka,Mysuru,12.2481,76.528818
Karnataka,Raichur,16.050795,76.873686
Karnataka,Shivamogga,14.063846,75.178821
Karnataka,Tumakuru,13.592468,77.02298
Karnataka,Udupi,13.450404,74.7201
Karnataka,Uttara Kannanda,14.538958,74.352291
Karnataka,Kalaburagi,17.3297,76.8343
Karnataka,Vijayapura,16.8302,75.71
Karnataka,Chikkaballapura,13.4355,77.7315
Kerala,Alappuzha,9.542603,76.380108
Kerala,Ernakulam,10.004879,76.269577
Kerala,Idukki,9.80481,77.045866
Kerala,Kannur,11.941523,75.352099
Kerala,Kasaragod,12.333103,75.077685
Kerala,Kollam,8.929389,76.636078
Kerala,Kottayam,9.643701,76.460597
Kerala,Kozhikode,11.392924,75.711587
Kerala,Malappuram,10.973299,75.939108
Kerala,Palakkad,10.784927,76.499805
Kerala,Pathanamthitta,9.291312,76.864123
Kerala,Thiruvananthapuram,8.537102,76.887115
Kerala,Thrissur,10.458933,76.123219
Kerala,Wayanad,11.715277,76.07587
Lakshadweep,Kavaratti,10.436391,72.829927
Madhya Pradesh,Anuppur,23.181842,81.8656
Madhya Pradesh,Ashoknagar,24.630988,77.829745
Madhya Pradesh,Balaghat,21.800207,80.421701
Madhya Pradesh,Barwani,21.702136,74.910047
Madhya Pradesh,Betul,21.964626,77.787343
Madhya Pradesh,Bhind,26.359511,78.761832
Madhya Pradesh,Bhopal,23.480726,77.392466
Madhya Pradesh,Burhanpur,21.364567,76.244605
Madhya Pradesh,Chhatarpur,24.813637,79.564493
Madhya Pradesh,Chhindwara,22.227967,78.764131
Madhya Pradesh,Damoh,23.766244,79.470493
Madhya Pradesh,Datia,25.902264,78.639166
Madhya Pradesh,Dewas,22.785111,76.460888
Madhya Pradesh,Dhar,22.572682,75.110562
Madhya Pradesh,Dindori,22.837384,81.04333
Madhya Pradesh,East Nimar,22.098986,76.558055
Madhya Pradesh,Guna,24.490439,77.22359
Madhya Pradesh,Gwalior,26.040744,78.127824
Madhya Pradesh,Harda,22.22766,77.070226
Madhya Pradesh,Hoshangabad,22.595269,78.021681
Madhya Pradesh,Indore,22.680266,75.91338
Madhya Pradesh,Jabalpur,23.185256,79.983288
Madhya Pradesh,Jhabua,22.419578,74.409216
Madhya Pradesh,Katni,23.724416,80.338197
Madhya Pradesh,Mandla,22.703487,80.386005
Madhya Pradesh,Mandsaur,24.192788,75.435887
Madhya Pradesh,Morena,26.373135,77.884473
Madhya Pradesh,Narsinghpur,22.951345,79.002024
Madhya Pradesh,Neemuch,24.703119,75.066082
Madhya Pradesh,Panna,24.451326,80.21133
Madhya Pradesh,Raisen,23.292518,78.163055
Madhya Pradesh,Rajgarh,23.785499,76.664312
Madhya Pradesh,Ratlam,23.503562,75.148958
Madhya Pradesh,Rewa,24.861185,81.575725
Madhya Pradesh,Sagar,23.800319,78.719404
Madhya Pradesh,Satna,24.627776,80.75547
Madhya Pradesh,Sehore,22.92972,77.067802
Madhya Pradesh,Seoni,22.332305,79.660539
Madhya Pradesh,Shahdol,23.448599,81.459683
Madhya Pradesh,Shajapur,23.56662,76.335552
Madhya Pradesh,Sheopur,25.780148,77.169111
Madhya Pradesh,Shivpuri,25.378025,77.748616
Madhya Pradesh,Sidhi,24.175472,82.105378
Madhya Pradesh,Tikamgarh,25.140999,78.893571
Madhya Pradesh,Ujjain,23.319289,75.803837
Madhya Pradesh,Umaria,23.596011,80.908795
Madhya Pradesh,Vidisha,23.828383,77.901351
Madhya Pradesh,West Nimar,22.02714,75.873437
Madhya Pradesh,Khargone,21.8335,75.615
Madhya Pradesh,Khandwa,21.8314,76.3498
Madhya Pradesh,Agar Malwa,23.7137,76.0095
Madhya Pradesh,Alirajpur,22.306,74.3558
Maharashtra,Ahmednagar,19.217599,74.692203
Maharashtra,Akola,20.74631,77.121223
Maharashtra,Amravati,21.16521,77.675835
Maharashtra,Aurangabad,20.097923,75.320722
Maharashtra,Bhandara,21.211793,80.109502
Maharashtra,Beed,18.952353,75.693197
Maharashtra,Buldhana,20.566806,76.390179
Maharashtra,Chandrapur,20.095609,79.315564
Maharashtra,Dhule,21.274019,74.587191
Maharashtra,Garhchiroli,19.795546,80.309656
Maharashtra,Gondia,21.225008,80.175227
Maharashtra,Mumbai,19.08507,72.84262
Maharashtra,Hingoli,19.595253,77.092394
Maharashtra,Jalgaon,20.882894,75.551404
Maharashtra,Jalna,19.984613,75.984736
Maharashtra,Kolhapur,16.448813,74.128972
Maharashtra,Latur,18.348687,76.758126
Maharashtra,Nagpur,21.196557,79.021662
Maharashtra,Nanded,19.209317,77.682905
Maharashtra,Nandurbar,21.523176,74.326388
Maharashtra,Nashik,20.266913,74.038242
Maharashtra,Osmanabad,18.194595,75.994956
Maharashtra,Parbhani,19.310324,76.701633
Maharashtra,Pune,18.516962,74.129229
Maharashtra,Raigad,18.453258,73.009061
Maharashtra,Ratnagiri,17.210195,73.257259
Maharashtra,Sangli,17.15493,74.707138
Maharashtra,Satara,17.673791,74.180521
Maharashtra,Sindhudurg,16.170948,73.51329
Maharashtra,Solapur,17.837358,75.423948
Maharashtra,Thane,19.698768,72.798827
Maharashtra,Wardha,20.80743,78.572591
Maharashtra,Washim,20.282282,77.255024
Maharashtra,Yavatmal,20.042583,78.053264
Maharashtra,Palghar,19.6967,72.7699
Manipur,Bishnupur,24.507121,93.824624
Manipur,Chandel,24.263581,94.094438
Manipur,Churachandpur,24.303097,93.386715
Manipur,Imphal East,24.821058,93.669512
Manipur,Senapati,25.084656,94.033662
Manipur,Tamenglong,24.983129,93.494507
Manipur,Thoubal,24.545393,93.979599
Manipur,Ukhrul,25.059003,94.441296
Manipur,Imphal West,24.794006,93.888591
Meghalaya,East Garo Hills,25.827282,90.646849
Meghalaya,East Khasi Hills,25.303764,91.759225
Meghalaya,Jaintia Hills,25.339596,92.376082
Meghalaya,Ri-Bhoi,25.897066,91.845162
Meghalaya,South Garo Hills,25.240569,90.645603
Meghalaya,West Garo Hills,25.495285,90.037099
Meghalaya,West Khasi Hills,25.50089,91.253645
Mizoram,Aizawl,23.907813,92.853595
Mizoram,Champhai,23.541666,93.242218
Mizoram,Kolasib,24.202,92.734704
Mizoram,Lawngtlai,22.361028,92.669642
Mizoram,Lunglei,23.007717,92.635126
Mizoram,Mamit,23.738529,92.43308
Mizoram,Saiha,22.357448,93.028279
Mizoram,Serchhip,23.263865,92.914158
Nagaland,Dimapur,25.814177,93.750741
Nagaland,Kohima,25.603114,93.786007
Nagaland,Mokokchung,26.478912,94.522426
Nagaland,Mon,26.692074,95.03073
Nagaland,Phek,25.63273,94.568146
Nagaland,Tuensang,26.211045,94.858099
Nagaland,Wokha,26.202612,94.199082
Nagaland,Zunheboto,26.028178,94.500267
Odisha,Angul,21.120706,84.998392
Odisha,Baleshwar,21.485709,87.080858
Odisha,Baragarh,21.132406,83.264445
Odisha,Bhadrak,20.952627,86.814962
Odisha,Balangir,20.6163,83.215201
Odisha,Boudh,20.583191,84.123633
Odisha,Cuttack,20.407641,85.777681
Odisha,Deogarh,21.431462,84.814525
Odisha,Dhenkanal,20.798872,85.532268
Odisha,Gajapati,19.121081,84.140151
Odisha,Ganjam,19.263262,84.802977
Odisha,Jagatsinghpur,20.114443,86.432653
Odisha,Jajpur,20.853249,86.152773
Odisha,Jharsuguda,21.827059,83.935817
Odisha,Kalahandi,19.784253,83.112404
Odisha,Kandhamal,20.092879,84.022164
Odisha,Kendrapara,20.60632,86.837632
Odisha,Kendujhar,21.492257,85.76277
Odisha,Khordha,20.054162,85.522348
Odisha,Koraput,18.826278,82.812785
Odisha,Malkangiri,18.252279,81.982936
Odisha,Mayurbhanj,21.897622,86.403041
Odisha,Nabarangpur,19.513047,82.42042
Odisha,Nayagarh,20.192896,85.056147
Odisha,Nuapada,20.47131,82.591525
Odisha,Puri,19.835092,85.86699
Odisha,Rayagada,19.29284,83.458601
Odisha,Sambalpur,21.515752,84.349585
Odisha,Sonepur,20.890803,83.768526
Odisha,Sundargarh,22.063548,84.505248
Odisha,Balasore,21.4934,86.9135
Puducherry,Karaikal,10.876162,79.823698
Puducherry,Mahe,12.006421,75.28275
Puducherry,Puducherry,11.887806,79.79711
Puducherry,Yanam,16.707696,82.261873
Punjab,Amritsar,31.54868,74.798839
Punjab,Bathinda,30.190525,75.056859
Punjab,Faridkot,30.591187,74.797516
Punjab,Fatehgarh Sahib,30.642909,76.362084
Punjab,Ferozepur,30.634075,74.402457
Punjab,Gurdaspur,32.042834,75.320406
Punjab,Hoshiarpur,31.551572,75.846986
Punjab,Jalandhar,31.250337,75.544004
Punjab,Kapurthala,31.336593,75.476412
Punjab,Ludhiana,30.765964,75.831109
Punjab,Mansa,29.919548,75.430492
Punjab,Moga,30.75654,75.160085
Punjab,Muktsar,30.312433,74.551875
Punjab,Shahid Bhagat Singh Nagar,31.133445,76.101924
Punjab,Patiala,30.21454,76.275059
Punjab,Rupnagar,30.910937,76.537435
Punjab,Sangrur,30.185045,75.89437
Punjab,Tarn Taran,31.4539,74.9268
Punjab,S.A.S. Nagar,30.7046,76.7179
Punjab,Sri Muktsar Sahib,30.4762,74.5122
Punjab,Fazilka,30.4036,74.028
Punjab,Pathankot,32.2733,75.6522
Punjab,Barnala,30.3819,75.5468
Rajasthan,Ajmer,26.1993,74.699042
Rajasthan,Alwar,27.552717,76.653596
Rajasthan,Banswara,23.453642,74.442469
Rajasthan,Baran,24.980232,76.862107
Rajasthan,Barmer,25.770709,71.502971
Rajasthan,Bharatpur,27.324119,77.217521
Rajasthan,Bhilwara,25.451198,74.639476
Rajasthan,Bikaner,28.124891,73.269433
Rajasthan,Bundi,25.485807,75.799841
Rajasthan,Chittorgarh,24.631624,74.80011
Rajasthan,Churu,28.293304,74.658464
Rajasthan,Dausa,26.912348,76.573421
Rajasthan,Dholpur,26.723971,77.744762
Rajasthan,Dungarpur,23.751048,73.847656
Rajasthan,Ganganagar,29.256785,73.561923
Rajasthan,Hanumangarh,29.181335,74.746326
Rajasthan,Jaipur,27.033459,75.771173
Rajasthan,Jaisalmer,26.869008,71.183719
Rajasthan,Jalore,25.075781,72.186473
Rajasthan,Jhalawar,24.247255,76.112429
Rajasthan,Jhunjhunun,28.135174,75.528409
Rajasthan,Jodhpur,26.678461,73.004508
Rajasthan,Karauli,26.519016,76.960818
Rajasthan,Kota,25.175718,76.186189
Rajasthan,Nagaur,27.07862,74.142157
Rajasthan,Pali,25.804904,73.552856
Rajasthan,Rajsamand,25.248948,73.965702
Rajasthan,Sawai Madhopur,26.251081,76.421928
Rajasthan,Sikar,27.646441,75.293174
Rajasthan,Sirohi,24.797691,72.753091
Rajasthan,Tonk,26.153935,75.791922
Rajasthan,Udaipur,24.440768,73.840298
Rajasthan,Evacuees,27.0238,74.2179
Rajasthan,BSF Camp,26.9205,71.9165
Rajasthan,Pratapgarh,24.0317,74.7787
Rajasthan,Italians,27.0238,74.2179
Sikkim,East,27.296004,88.749084
Sikkim,North Sikkim,27.81381,88.542006
Sikkim,South Sikkim,27.278022,88.375386
Sikkim,West Sikkim,27.335982,88.158012
Tamil Nadu,Ariyalur,11.190515,79.222496
Tamil Nadu,Chennai,13.058099,80.281392
Tamil Nadu,Coimbatore,10.871377,77.07619
Tamil Nadu,Cuddalore,11.575873,79.630024
Tamil Nadu,Dharmapuri,12.300141,78.115098
Tamil Nadu,Dindigul,10.377801,77.780113
Tamil Nadu,Erode,11.267012,77.420343
Tamil Nadu,Kancheepuram,12.496425,80.088204
Tamil Nadu,Kanyakumari,8.183466,77.320531
Tamil Nadu,Karur,10.795328,78.087497
Tamil Nadu,Madurai,9.904314,78.01366
Tamil Nadu,Nagapattinam,10.789468,79.794373
Tamil Nadu,Namakkal,11.337666,78.146248
Tamil Nadu,Nilgiris,11.442362,76.661464
Tamil Nadu,Perambalur,11.260138,78.86034
Tamil Nadu,Pudukkottai,10.130515,79.054445
Tamil Nadu,Ramanathapuram,9.31287,78.991854
Tamil Nadu,Salem,11.629324,78.247826
Tamil Nadu,Sivaganga,9.960307,78.565357
Tamil Nadu,Thanjavur,10.387692,79.319487
Tamil Nadu,Theni,9.924067,77.434588
Tamil Nadu,Thiruvallur,13.275858,80.197247
Tamil Nadu,Thiruvarur,10.368927,79.603229
Tamil Nadu,Thoothukkudi,8.720961,78.138327
Tamil Nadu,Tiruchchirappalli,10.837841,78.54729
Tamil Nadu,Tirunelveli,8.457431,77.705496
Tamil Nadu,Tiruvannamalai,12.419319,79.232656
Tamil Nadu,Vellore,12.784883,79.026433
Tamil Nadu,Villupuram,12.065571,79.689891
Tamil Nadu,Virudhunagar,9.468872,77.876415
Tamil Nadu,Chengalpattu,12.6819,79.9888
Tamil Nadu,Tiruppur,11.1085,77.3411
Tamil Nadu,Kallakurichi,11.7384,78.9639
Tamil Nadu,Tenkasi,8.9594,77.3161
Tamil Nadu,Krishnagiri,12.5266,78.215
Tripura,Dhalai,23.78136,91.946543
Tripura,North Tripura,24.12174,92.178425
Tripura,South Tripura,23.211874,91.606581
Tripura,West Tripura,23.780166,91.413108
Tripura,Gomati,23.5167,91.6372
Uttar Pradesh,Agra,26.99513,78.052783
Uttar Pradesh,Aligarh,27.937486,78.001468
Uttar Pradesh,Allahabad,25.392039,82.051724
Uttar Pradesh,Ambedkar Nagar,26.39119,82.682821
Uttar Pradesh,Auraiya,26.668924,79.426371
Uttar Pradesh,Azamgarh,26.008291,83.012203
Uttar Pradesh,Budaun,28.085957,78.997108
Uttar Pradesh,Baghpat,29.045793,77.302663
Uttar Pradesh,Bahraich,27.691776,81.467798
Uttar Pradesh,Ballia,25.860756,84.03652
Uttar Pradesh,Balrampur,27.449077,82.471583
Uttar Pradesh,Banda,25.351886,80.524874
Uttar Pradesh,Barabanki,26.922777,81.357624
Uttar Pradesh,Bareilly,28.511019,79.431871
Uttar Pradesh,Basti,26.83388,82.697906
Uttar Pradesh,Bijnor,29.313974,78.450988
Uttar Pradesh,Bulandshahr,28.348759,78.010828
Uttar Pradesh,Chandauli,25.118086,83.253071
Uttar Pradesh,Chitrakoot,25.159925,81.076661
Uttar Pradesh,Deoria,26.422189,83.824407
Uttar Pradesh,Etah,27.591155,78.700219
Uttar Pradesh,Etawah,26.788177,79.076218
Uttar Pradesh,Faizabad,26.605892,82.007835
Uttar Pradesh,Farrukhabad,27.450633,79.440628
Uttar Pradesh,Fatehpur,25.837436,80.854162
Uttar Pradesh,Firozabad,27.20964,78.426606
Uttar Pradesh,Gautam Buddha Nagar,28.393311,77.524625
Uttar Pradesh,Ghaziabad,28.749973,77.674419
Uttar Pradesh,Ghazipur,25.624725,83.536085
Uttar Pradesh,Gonda,27.157216,82.022689
Uttar Pradesh,Gorakhpur,26.633159,83.354956
Uttar Pradesh,Hamirpur,25.738158,79.826195
Uttar Pradesh,Hardoi,27.337409,80.264118
Uttar Pradesh,Hathras,27.578147,78.182511
Uttar Pradesh,Jalaun,26.067955,79.366869
Uttar Pradesh,Jaunpur,25.701413,82.543154
Uttar Pradesh,Jhansi,25.455815,78.899546
Uttar Pradesh,Jyotiba Phule Nagar,28.870499,78.390094
Uttar Pradesh,Kannauj,26.993989,79.644379
Uttar Pradesh,Kanpur Dehat,26.430476,79.987101
Uttar Pradesh,Kanpur Nagar,26.370469,80.292516
Uttar Pradesh,Kaushambi,25.535875,81.418113
Uttar Pradesh,Kushinagar,26.892531,83.922615
